09/12/2025,Modalidade,10/12/2025,Modalidade,11/12/2025,Modalidade,12/12/2025,Modalidade,13/12/2025,Modalidade,15/12/2025,Modalidade,16/12/2025,Modalidade,17/12/2025,Modalidade,18/12/2025,Modalidade,19/12/2025,Modalidade,20/12/2025,Modalidade,21/12/2025,Modalidade,22/12/2025,Modalidade,23/12/2025,Modalidade,24/12/2025,Modalidade,26/12/2025,Modalidade,27/12/2025,Modalidade,29/12/2025,Modalidade,30/12/2025,Modalidade,31/12/2025,Modalidade
"R$ 132,50",Recebimento Crediario,"R$ 80,99",Débito Sicredi,"R$ 479,98",Parcelado 5 a 6 Sicredi,"R$ 249,99",Parcelado 2 a 4 Sicredi,"R$ 419,98",Crediário,"R$ 106,00",Recebimento Crediario,"R$ 143,99",Débito Sicredi,"R$ 116,99",Crédito Av Sicredi,"R$ 62,50",Recebimento Crediario,"R$ 57,00",Recebimento Crediario,"R$ 38,50",Recebimento Crediario,"R$ 311,38",Débito Sicredi,"R$ 100,00",Dinheiro,"R$ 62,50",Recebimento Crediario,"R$ 169,98",Parcelado 2 a 4 Sicredi,"R$ 80,00",Recebimento Crediario,"R$ 206,98",Pix Sicredi,"R$ 90,00",Recebimento Crediario,"R$ 116,99",Débito Sicredi,"R$ 143,99",Crédito Av Sicredi
"R$ 125,98",Pix Sicredi,"R$ 489,97",BonusCred,"R$ 135,00",Dinheiro,"R$ 89,99",Pix Sicredi,"R$ 37,50",Recebimento Crediario,"R$ 414,00",Pix Sicredi,"R$ 162,00",Dinheiro,"R$ 89,99",Pix Sicredi,"R$ 50,00",Recebimento Crediario,"R$ 90,00",Recebimento Crediario,"R$ 152,99",Pix Sicredi,"R$ 80,99",Crédito Av Sicredi,"R$ 162,00",Dinheiro,"R$ 139,50",Débito Sicredi,"R$ 278,98",Débito Sicredi,"R$ 344,98",Parcelado 2 a 4 Sicredi,"R$ 215,98",Pix Sicredi,"R$ 100,00",Recebimento Crediario,"R$ 89,99",Crédito Av Sicredi,"R$ 80,99",Débito Sicredi
"R$ 150,00",Recebimento Crediario,"R$ 396,00",Pix Sicredi,"R$ 150,00",Recebimento Crediario,"R$ 239,98",Parcelado 2 a 4 Sicredi,"R$ 189,98",Crediário,"R$ 251,98",Débito Sicredi,"R$ 169,99",Parcelado 2 a 4 Sicredi,"R$ 211,50",Débito Sicredi,"R$ 116,99",Débito Sicredi,"R$ 100,00",Recebimento Crediario,"R$ 50,00",Débito Sicredi,"R$ 369,98",Parcelado 2 a 4 Sicredi,"R$ 150,00",Recebimento Crediario,"R$ 55,00",Recebimento Crediario,"R$ 197,37",Pix Sicredi,"R$ 315,00",Crédito Av Sicredi,"R$ 269,98",Débito Sicredi,"R$ 175,00",Dinheiro,"R$ 80,99",Débito Sicredi,"R$ 157,50",Dinheiro
"R$ 215,00",Crediário,"R$ 235,00",Dinheiro,"R$ 243,00",Dinheiro,"R$ 206,99",Dinheiro,"R$ 216,00",Dinheiro,"R$ 129,99",Parcelado 2 a 4 Sicredi,"R$ 200,00",Dinheiro,"R$ 470,00",Recebimento Crediario,"R$ 152,99",Pix Sicredi,"R$ 269,98",Parcelado 2 a 4 Sicredi,"R$ 206,99",Crédito Av Sicredi,"R$ 109,99",Crediário,"R$ 359,97",Parcelado 5 a 6 Sicredi,"R$ 269,98",Parcelado 2 a 4 Sicredi,"R$ 195,00",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 115,28",Débito Sicredi,"R$ 50,00",Débito Sicredi,"R$ 407,99",Parcelado 2 a 4 Sicredi,"R$ 162,00",Dinheiro
"R$ 300,00",Recebimento Crediario,"R$ 17,00",Pix Sicredi,"R$ 179,99",Parcelado 2 a 4 Sicredi,"R$ 260,98",Pix Sicredi,"R$ 129,99",Parcelado 2 a 4 Sicredi,"R$ 72,00",Pix Sicredi,"R$ 50,00",Dinheiro,"R$ 79,99",Pix Sicredi,"R$ 90,00",Recebimento Crediario,"R$ 161,98",Pix Sicredi,"R$ 242,98",Débito Sicredi,"R$ 319,98",Crediário,"R$ 245,98",Parcelado 2 a 4 Sicredi,"R$ 80,99",Crédito Av Sicredi,"R$ 129,99",BonusCred,"R$ 115,00",Dinheiro,"R$ 459,96",Parcelado 5 a 6 Sicredi,"R$ 19,00",Crédito Av Sicredi,"R$ 153,00",Dinheiro,"R$ 125,99",Débito Sicredi
"R$ 125,00",Recebimento Crediario,"R$ 144,00",Dinheiro,"R$ 209,99",Crediário,"R$ 95,00",Recebimento Crediario,"R$ 157,50",Débito Sicredi,"R$ 65,00",Recebimento Crediario,"R$ 129,99",Pix Sicredi,"R$ 200,00",Dinheiro,"R$ 360,00",Recebimento Crediario,"R$ 116,98",Pix Sicredi,"R$ 36,00",Débito Sicredi,,,"R$ 70,00",Recebimento Crediario,"R$ 964,94",Parcelado 5 a 6 Sicredi,"R$ 350,00",Dinheiro,"R$ 85,00",Recebimento Crediario,"R$ 71,99",Pix Sicredi,"R$ 80,99",Crédito Av Sicredi,"R$ 99,99",Pix Sicredi,"R$ 198,00",Pix Sicredi
"R$ 150,00",Recebimento Crediario,"R$ 499,97",Parcelado 5 a 6 Sicredi,"R$ 90,00",Recebimento Crediario,"R$ 189,00",Débito Sicredi,"R$ 289,99",Parcelado 2 a 4 Sicredi,"R$ 239,99",Parcelado 2 a 4 Sicredi,"R$ 118,75",Recebimento Crediario,"R$ 150,00",Pix Sicredi,"R$ 180,00",Dinheiro,"R$ 71,99",Pix Sicredi,"R$ 412,00",Pix Sicredi,,,"R$ 215,98",Pix Sicredi,"R$ 200,00",Dinheiro,"R$ 143,99",Débito Sicredi,"R$ 260,00",Débito Sicredi,"R$ 110,70",Pix Sicredi,"R$ 234,20",Recebimento Crediario,"R$ 200,00",Recebimento Crediario,"R$ 80,00",Dinheiro
"R$ 100,00",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 180,33",Recebimento Crediario,"R$ 161,98",Pix Sicredi,"R$ 143,99",Débito Sicredi,"R$ 113,00",Recebimento Crediario,"R$ 227,50",Recebimento Crediario,"R$ 272,40",Parcelado 2 a 4 Sicredi,"R$ 45,00",Débito Sicredi,"R$ 206,99",Débito Sicredi,"R$ 225,00",Pix Sicredi,,,"R$ 100,00",Recebimento Crediario,"R$ 111,38",Pix Sicredi,"R$ 114,99",BonusCred,"R$ 283,50",Dinheiro,"R$ 189,00",Pix Sicredi,"R$ 230,00",Débito Sicredi,"R$ 35,00",Pix Sicredi,"R$ 156,57",Recebimento Crediario
"R$ 100,00",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 65,00",Recebimento Crediario,"R$ 879,97",Parcelado 5 a 6 Sicredi,"R$ 150,00",Recebimento Crediario,"R$ 229,99",Parcelado 2 a 4 Sicredi,"R$ 189,00",Pix Sicredi,"R$ 119,99",Parcelado 2 a 4 Sicredi,"R$ 103,50",Dinheiro,"R$ 80,99",Pix Sicredi,"R$ 100,00",Dinheiro,,,"R$ 279,99",Parcelado 5 a 6 Sicredi,"R$ 80,99",Crédito Av Sicredi,"R$ 125,99",Pix Sicredi,"R$ 71,99",Pix Sicredi,"R$ 80,99",Débito Sicredi,"R$ 150,00",Recebimento Crediario,"R$ 99,90",Débito Sicredi,"R$ 727,98",Parcelado 5 a 6 Sicredi
"R$ 99,00",Dinheiro,"R$ 131,00",Recebimento Crediario,"R$ 449,95",BonusCred,"R$ 160,00",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 82,00",Pix Sicredi,"R$ 59,99",Crédito Av Sicredi,"R$ 179,99",Débito Sicredi,"R$ 86,00",Recebimento Crediario,"R$ 188,90",Pix Sicredi,"R$ 159,99",Parcelado 2 a 4 Sicredi,,,"R$ 153,00",Pix Sicredi,"R$ 126,00",Pix Sicredi,"R$ 292,98",Parcelado 2 a 4 Sicredi,"R$ 100,00",Pix Sicredi,"R$ 65,00",Crédito Av Sicredi,"R$ 153,24",Recebimento Crediario,"R$ 139,99",Parcelado 2 a 4 Sicredi,"R$ 10,00",Dinheiro
