,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro,,,,fevereiro,,,,março,,,,abril,,,,maio,,,,junho,,,,julho,,,,agosto,,,,setembro,,,,outubro,,,,novembro,,,,dezembro,,,
Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto
,"R$ 27.756,44","R$ 4.408,21","R$ 23.348,23",,"R$ 21.259,83","R$ 0,00","R$ 21.259,83",,"R$ 12.378,74","R$ 0,00","R$ 12.378,74",,"R$ 1.651,81","R$ 0,00","R$ 1.651,81",,"R$ 75,00","R$ 0,00","R$ 75,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00"
1,"R$ 13.859,04",,,1,"R$ 9.208,20",,,1,"R$ 3.430,98",,,1,"R$ 293,33",,,1,"R$ 75,00",,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,
2,"R$ 1.014,86","R$ 1.097,46",,2,"R$ 45,00",,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,
3,"R$ 148,00","R$ 444,49",,3,"R$ 267,99",,,3,"R$ 95,00",,,3,"R$ 95,00",,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,
4,"R$ 592,24",,,4,"R$ 575,44",,,4,"R$ 504,98",,,4,"R$ 176,50",,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,
5,"R$ 406,65","R$ 2.866,26",,5,"R$ 647,65",,,5,"R$ 616,15",,,5,"R$ 338,50",,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,
6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,
7,"R$ 345,00",,,7,"R$ 114,99",,,7,"R$ 114,99",,,7,"R$ 115,00",,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,
8,"R$ 985,00",,,8,"R$ 903,40",,,8,"R$ 564,41",-,,8,"R$ 166,00",,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,
9,"R$ 397,50",,,9,"R$ 257,50",,,9,"R$ 167,50",,,9,"R$ 167,50",,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,
10,"R$ 278,30",,,10,"R$ 278,30",,,10,"R$ 143,30",,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,
11,"R$ 468,00",,,11,"R$ 468,00",,,11,"R$ 468,00",,,11,"R$ 62,50",,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,
12,"R$ 628,50",,,12,"R$ 628,50",,,12,"R$ 409,50",,,12,"R$ 104,98",,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,
13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,
14,"R$ 589,66",,,14,"R$ 540,16",,,14,"R$ 323,50",,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,
15,"R$ 318,49",,,15,"R$ 209,50",,,15,"R$ 114,50",,,15,"R$ 47,50",,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,
16,"R$ 506,00",,,16,"R$ 506,98",,,16,"R$ 456,98",,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,
